language,mean_sentiment,median_sentiment,std_sentiment,n_articles
DE,-0.9468000745156483,-0.9864,0.17559651815642463,1342
ES,-0.1124717894736842,-0.2263,0.5839203704562042,475
OTHER,0.0,0.0,,1
FR,0.007523723723723722,0.0,0.4908985416593288,666
EN,0.10797933373229603,0.4284,0.8266544385907414,5013
