publisher,topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
Die Tageszeitung (taz),6_prozent_pour_ne_sont,-0.96985,-0.96985,0.03019345955666555,2
Frankfurter Allgemeine Zeitung,23_vs_bundesliga_gegen_stuttgart,-0.968925,-0.96675,0.004822430231048798,4
Daily Mail,41_oregon_lópez_criminal_drug,-0.9686,-0.9686,,1
The Telegraph,24_css_inlinelink_css yidnqd_yidnqd inlinelink,-0.9665,-0.9665,,1
Die Zeit,36_men_mujeres_paz_women,-0.9661,-0.9661,,1
Spiegel Online,11_product_product marketing_marketing_quarter,-0.9661,-0.9661,,1
Euronews (EN),3_lawsuit_sentencia_er_mossos,-0.96555,-0.96555,0.015627059864222706,2
The Washington Times,40_georgia_russia_belarus_political,-0.9578,-0.9578,,1
Die Tageszeitung (taz),-1_er_dass_000_year,-0.9572849999999999,-0.9768,0.06906976850296105,20
Spiegel Online,22_facebook_twitter_zuckerberg_post,-0.9524,-0.9524,,1
Frankfurter Allgemeine Zeitung,22_facebook_twitter_zuckerberg_post,-0.9506,-0.9506,,1
Die Tageszeitung (taz),18_jet_ber_flight_flughafen,-0.9485,-0.9485,,1
Spiegel Online,25_cup_england_united_world cup,-0.9474666666666667,-0.9561,0.05268323579027134,3
Spiegel Online,3_lawsuit_sentencia_er_mossos,-0.9413,-0.9413,,1
i,7_plants_garden_binoculars_flowers,-0.9377,-0.9377,,1
The Telegraph,37_tier_spiegel_gerät_restrictions,-0.9366,-0.9366,,1
Fox News,12_gun_school_students_shooting,-0.93525,-0.9758,0.08000660687004005,8
Spiegel Online,37_tier_spiegel_gerät_restrictions,-0.93225,-0.93225,0.06540737725975566,2
The Washington Times,12_gun_school_students_shooting,-0.9286727272727273,-0.9493,0.06723265710812106,11
The Washington Times,3_lawsuit_sentencia_er_mossos,-0.9284142857142857,-0.9836,0.07676610425119121,7
Fox News,4_murder_county_year old_death,-0.92735,-0.94895,0.07954095381206672,4
Fox News,41_oregon_lópez_criminal_drug,-0.9253,-0.9253,,1
The Telegraph,13_corbyn_labour_party_anti,-0.9225,-0.9442,0.07388010557653531,3
The BBC,3_lawsuit_sentencia_er_mossos,-0.9217,-0.9217,,1
es,36_men_mujeres_paz_women,-0.9153,-0.9153,,1
Spiegel Online,42_says_kandidaten_électorat_etats,-0.9136,-0.9136,,1
The Telegraph,11_product_product marketing_marketing_quarter,-0.9136,-0.9136,,1
Daily Mail,3_lawsuit_sentencia_er_mossos,-0.91195,-0.91195,0.1182989644925094,2
i,37_tier_spiegel_gerät_restrictions,-0.9075,-0.9075,,1
The BBC,4_murder_county_year old_death,-0.9065125,-0.97045,0.15632770010918914,8
Le Monde,3_lawsuit_sentencia_er_mossos,-0.9062,-0.9062,,1
Euronews (EN),36_men_mujeres_paz_women,-0.90185,-0.90185,0.1191474926299333,2
Euronews (EN),29_patienten_dass_prozent_intensivstationen,-0.8847,-0.8847,,1
Euronews (FR),29_patienten_dass_prozent_intensivstationen,-0.8689,-0.8689,,1
The Sun,27_show_nathan_sister_series,-0.8599,-0.8599,0.14566399692442875,2
Daily Mail,18_jet_ber_flight_flughafen,-0.83805,-0.83805,0.07488260812765542,2
Deutsche Welle,17_cases_vitamin_covid_covid 19,-0.8363,-0.8363,,1
Euronews (EN),5_halloween_pumpkin_trick_moon,-0.8074,-0.8074,,1
CNBC,9_mr_shulkin_kudlow_trump,-0.8017,-0.8017,,1
The Washington Times,4_murder_county_year old_death,-0.7912076923076923,-0.9748,0.43895847461451,13
The Washington Times,20_land_africa_south_opposition,-0.7652,-0.7652,,1
The Washington Times,7_plants_garden_binoculars_flowers,-0.7579,-0.7579,,1
The BBC,35_ich_ruth_frauen_familia,-0.7506,-0.7506,,1
The BBC,1_biden_trump_president_joe,-0.714,-0.714,,1
Daily Mail,34_asylum_crossings_usa_asylum seekers,-0.7096,-0.7096,,1
The Washington Times,34_asylum_crossings_usa_asylum seekers,-0.7096,-0.7096,,1
Fox News,3_lawsuit_sentencia_er_mossos,-0.7035571428571429,-0.872,0.26929441049492564,7
Fox News,14_pakistan_macron_khan_islam,-0.6643,-0.6643,,1
Fox News,35_ich_ruth_frauen_familia,-0.6456999999999999,-0.6456999999999999,0.4699431667765795,2
The Telegraph,22_facebook_twitter_zuckerberg_post,-0.6428,-0.6428,,1
The Washington Times,22_facebook_twitter_zuckerberg_post,-0.63225,-0.63225,0.20697015485330242,2
Le Monde,46_europa_morales_proteste_muerte,-0.6249,-0.6249,,1
Euronews (FR),44_pubs_pub_león_castilla león,-0.6249,-0.6249,,1
Daily Mail,11_product_product marketing_marketing_quarter,-0.6052,-0.9601,0.7704337220033921,5
i,44_pubs_pub_león_castilla león,-0.598,-0.598,,1
The BBC,24_css_inlinelink_css yidnqd_yidnqd inlinelink,-0.5954714285714287,-0.9528,0.6584830286709135,7
The BBC,32_cannabis_art_terry_talbot,-0.59235,-0.59235,0.5516140000036257,2
es,46_europa_morales_proteste_muerte,-0.5574,-0.5574,,1
Euronews (EN),21_confinement_lockdown_pour_france,-0.5301333333333333,-0.5204,0.07785764787953292,3
