Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,1,-1_debate___,"['debate', '', '', '', '', '', '', '', '', '']","[""'Serious public debate' needed on soldier mercy killings, Frederick Forsyth says""]",Womens_March_2017,True,7
0,47,0_six_utd_alternative_anthony,"['six', 'utd', 'alternative', 'anthony', 'striker', 'obsession', 'court', 'manchester united', 'liverpool', 'arsenal']","['Stoke v Manchester Utd LIVE: Plus rest of the Premier League action', 'Telegraph Cycling Podcast: Tour Down Under, Berlin Six and Damian Collins', 'Anthony Watson suffers hamstring injury to leave him struggling for Six Nations opener']",Womens_March_2017,True,7
1,19,1_obsession_nations_debate_death,"['obsession', 'nations', 'debate', 'death', 'court', 'berlin', 'alternative', 'six', '', '']","[""Mystery death of ex-KGB chief linked to MI6 spy's dossier on Donald Trump"", ""Who is Nikki Haley, America's next ambassador to the United Nations?"", ""Prince Charles complains Brexit 'obsession' has stifled debate on Christian persecution""]",Womens_March_2017,True,7
2,9,2_manchester united_striker_anthony_manchester,"['manchester united', 'striker', 'anthony', 'manchester', 'utd', 'arsenal', 'liverpool', 'chelsea', '', '']","['Transfer news LATEST: Man Utd, Arsenal, Chelsea and Liverpool updates', 'Exclusive: Manchester United striker Zlatan Ibrahimovic pep talk lifts Anthony Martial', 'Transfer news LIVE: Manchester United, Arsenal, Chelsea updates']",Womens_March_2017,True,7
