publisher,is_control,event_topic_label,n_articles,total_articles,topic_share_pct,event_label
The New Yorker,False,"Diana, Militar, Nuclear",2,35,5.71,Israeli_Womens_Protests_2023
The New Yorker,False,"Geht, Koalition, Spd",1,35,2.86,Israeli_Womens_Protests_2023
The New Yorker,False,"Home, Market, Surplus",2,35,5.71,Israeli_Womens_Protests_2023
The New Yorker,False,"Iaea, Iranian, Pressure",1,35,2.86,Israeli_Womens_Protests_2023
The New Yorker,False,"Nachrichten, Study, Wegen",10,35,28.57,Israeli_Womens_Protests_2023
The New Yorker,False,"Putin, Russia, Russie",1,35,2.86,Israeli_Womens_Protests_2023
The Sun,False,"Arrested, Family, Fox",16,50,32.0,Israeli_Womens_Protests_2023
The Sun,False,"Biden, Debt, Supreme court",1,50,2.0,Israeli_Womens_Protests_2023
The Sun,False,"Brexit, Northern, Rishi sunak",4,50,8.0,Israeli_Womens_Protests_2023
The Sun,False,"Coach, Contract, Seasons",1,50,2.0,Israeli_Womens_Protests_2023
The Sun,False,"Cup, Foden, Pick",10,50,20.0,Israeli_Womens_Protests_2023
The Sun,False,"Derailment, Ohio, Train",2,50,4.0,Israeli_Womens_Protests_2023
The Sun,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
The Sun,False,"Home, Market, Surplus",1,50,2.0,Israeli_Womens_Protests_2023
The Sun,False,"Nachrichten, Study, Wegen",13,50,26.0,Israeli_Womens_Protests_2023
The Sun,False,"Putin, Russia, Russie",1,50,2.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Arrested, Family, Fox",16,50,32.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Awards, Festival, Jury",1,50,2.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Biden, Debt, Supreme court",3,50,6.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Brexit, Northern, Rishi sunak",4,50,8.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Cup, Foden, Pick",3,50,6.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Derailment, Ohio, Train",1,50,2.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Desantis, Disney, Health care",1,50,2.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Home, Market, Surplus",4,50,8.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Nachrichten, Study, Wegen",15,50,30.0,Israeli_Womens_Protests_2023
The Telegraph,False,"Parliament, Security, Tiktok",1,50,2.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Arrested, Family, Fox",12,50,24.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Biden, Debt, Supreme court",3,50,6.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Chinese, Covid, Hearing",7,50,14.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Cup, Foden, Pick",1,50,2.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Desantis, Disney, Health care",3,50,6.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Home, Market, Surplus",1,50,2.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Nachrichten, Study, Wegen",20,50,40.0,Israeli_Womens_Protests_2023
The Washington Times,False,"Parliament, Security, Tiktok",2,50,4.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Arrested, Family, Fox",2,50,4.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Biden, Debt, Supreme court",1,50,2.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Brexit, Northern, Rishi sunak",2,50,4.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Chinese, Covid, Hearing",9,50,18.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Derailment, Ohio, Train",1,50,2.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Desantis, Disney, Health care",2,50,4.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Home, Market, Surplus",1,50,2.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Nachrichten, Study, Wegen",21,50,42.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Parliament, Security, Tiktok",3,50,6.0,Israeli_Womens_Protests_2023
Voice Of America,False,"Putin, Russia, Russie",8,50,16.0,Israeli_Womens_Protests_2023
Washington Post,False,"Arrested, Family, Fox",5,50,10.0,Israeli_Womens_Protests_2023
Washington Post,False,"Biden, Debt, Supreme court",1,50,2.0,Israeli_Womens_Protests_2023
Washington Post,False,"Chinese, Covid, Hearing",3,50,6.0,Israeli_Womens_Protests_2023
Washington Post,False,"Coach, Contract, Seasons",6,50,12.0,Israeli_Womens_Protests_2023
Washington Post,False,"Cup, Foden, Pick",2,50,4.0,Israeli_Womens_Protests_2023
Washington Post,False,"Derailment, Ohio, Train",2,50,4.0,Israeli_Womens_Protests_2023
Washington Post,False,"Home, Market, Surplus",23,50,46.0,Israeli_Womens_Protests_2023
Washington Post,False,"Nachrichten, Study, Wegen",7,50,14.0,Israeli_Womens_Protests_2023
Washington Post,False,"Putin, Russia, Russie",1,50,2.0,Israeli_Womens_Protests_2023
es,False,"Diana, Militar, Nuclear",49,50,98.0,Israeli_Womens_Protests_2023
es,False,"Nachrichten, Study, Wegen",1,50,2.0,Israeli_Womens_Protests_2023
i,False,"Arrested, Family, Fox",12,50,24.0,Israeli_Womens_Protests_2023
i,False,"Biden, Debt, Supreme court",1,50,2.0,Israeli_Womens_Protests_2023
i,False,"Brexit, Northern, Rishi sunak",11,50,22.0,Israeli_Womens_Protests_2023
i,False,"Coach, Contract, Seasons",1,50,2.0,Israeli_Womens_Protests_2023
i,False,"Cup, Foden, Pick",4,50,8.0,Israeli_Womens_Protests_2023
i,False,"Derailment, Ohio, Train",1,50,2.0,Israeli_Womens_Protests_2023
i,False,"Home, Market, Surplus",4,50,8.0,Israeli_Womens_Protests_2023
i,False,"Nachrichten, Study, Wegen",12,50,24.0,Israeli_Womens_Protests_2023
i,False,"Parliament, Security, Tiktok",1,50,2.0,Israeli_Womens_Protests_2023
i,False,"Putin, Russia, Russie",3,50,6.0,Israeli_Womens_Protests_2023
