Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,10,-1_play_paid_help_girlfriend,"['play', 'paid', 'help', 'girlfriend', 'found dead', 'found', 'record', 'ban', 'old', 'children']","[""Church of England attacks 'troubling' European court ruling which says employers can ban workers from wearing Christian crosses"", 'Girlfriend tells of lost baby agony of mystery man found dead on Saddleworth Moor', 'Four-year-old girl hikes five miles in -33C temperatures to find help for dying grandmother']",International_Womens_Strike_2017,True,7
0,34,0_record_play_ordered_murder,"['record', 'play', 'ordered', 'murder', 'help', 'girlfriend', 'sell', 'action', 'accused', '']","[""Liam Fox backs campaign for new Britannia saying 'I would love a trade yacht' to sell Britain to the world"", ""Nicola Sturgeon 'will not get much help from Europe' despite charm offensive"", 'Outrage in Brazil as football club signs goalkeeper who ordered murder of his girlfriend and feeding her body to dogs']",International_Womens_Strike_2017,True,7
1,12,1_old_children_three_murder,"['old', 'children', 'three', 'murder', 'found dead', 'found', 'dead', 'ban', '', '']","['Policeman who raped 13-year-old jailed for three years', ""School forces 14-year-old boy to 'shave every day' as it says children must be clean-shaven"", 'Woman arrested on suspicion of murder after young child found dead in Oxfordshire']",International_Womens_Strike_2017,True,7
2,10,2_accused_sell_paid_ordered,"['accused', 'sell', 'paid', 'ordered', 'girl', 'three', 'action', '', '', '']","['Admiral among US Navy officers accused of trading sex for secrets', ""Social media firms accused of 'commercial prostitution'"", ""Mischa Barton's lawyers threaten legal action against anyone attempting to sell 'revenge porn'""]",International_Womens_Strike_2017,True,7
