Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,88,-1_china_deaths_refugee_court,"['china', 'deaths', 'refugee', 'court', 'roy moore', 'data', 'donald trump', 'michael gove', 'football', 'biggest']","['Donald Trump Jr. mocks Roy Moore after campaign announcement, reigniting feud', ""Hope Hicks says hacked Hillary Clinton emails didn't boost Donald Trump campaign"", ""Michael Gove's knockout in Tory leadership contest is a big setback for Scottish party""]",Swiss_Womens_Strike_2019,False,15
0,245,0_france_tory_summit_brussels,"['france', 'tory', 'summit', 'brussels', 'policy', 'plan', 'michael gove', 'tweet', 'plane', 'donald']","[""Greenpeace 'climate emergency' summit protest targets European Commission"", 'Boris Johnson to battle Jeremy Hunt for No10 amid claims he knifed old enemy Michael Gove by getting allies', 'Boris finally exacts revenge on arch nemesis Michael Gove amid rumours of vote rigging in Tory leadership race']",Swiss_Womens_Strike_2019,False,15
1,69,1_shooting_oregon_girl_apple,"['shooting', 'oregon', 'girl', 'apple', 'call', 'plane', 'court', 'weeks', 'west', 'threatens']","['Philadelphia police union calls commissioner ‘irresponsible’ amid investigation into alleged racist, anti-M...', 'Colorado police say man falsely accused wife of shooting', 'Pennsylvania nightclub shooting injures 10, police say']",Swiss_Womens_Strike_2019,False,15
2,58,2_win_action_island_final,"['win', 'action', 'island', 'final', 'michelle', 'admits', 'death', 'wimbledon', 'strict', 'lost']","['Emotional Michelle Wie admits chronic wrist injury could cut career short', 'Tour de Suisse 2019, stage six results and standings: Antwan Tolhoek holds off late charge from Egan Bernal for stage win', 'England vs Afghanistan - Cricket World Cup LIVE: Follow the action']",Swiss_Womens_Strike_2019,False,15
3,42,3_transfer_league_manager_antonio,"['transfer', 'league', 'manager', 'antonio', 'villa', 'bid', 'red', 'page', 'signs', 'terry']","['Transfer news LIVE - Latest from Premier League and rest of Europe', 'Transfer news LIVE - Latest from Premier League and rest of Europe', 'Transfer news LIVE: Every Premier League and Europe deal and signing']",Swiss_Womens_Strike_2019,False,15
4,34,4_economy_facebook_biggest_china,"['economy', 'facebook', 'biggest', 'china', 'workers', 'shares', 'surge', 'tax', 'trump tweet', 'warren']","['Slack soars in debut – three experts weigh in', 'Democratic Sen. Sherrod Brown calls for strict regulation of Facebook cryptocurrency Libra', 'Gig economy workers may get short changed when it comes to Social Security checks']",Swiss_Womens_Strike_2019,False,15
